d,open,high,low,close
2025-02-05T09:00:00+07:00,97849.81,98192,97131.43,97993.99
2025-02-05T10:00:00+07:00,97994,98324.16,97771.82,98040
2025-02-05T11:00:00+07:00,98040.01,98332.41,97916.02,98046
2025-02-05T12:00:00+07:00,98045.99,98300,97681.53,98138.4
2025-02-05T13:00:00+07:00,98138.4,98222,97559.12,97652
2025-02-05T14:00:00+07:00,97652,97984.53,97352.77,97864.43
2025-02-05T15:00:00+07:00,97864.43,98038,97572,97634.24
2025-02-05T16:00:00+07:00,97634.25,97970.61,97257.05,97405.61
2025-02-05T17:00:00+07:00,97405.61,98040.71,97348.3,97734.96
2025-02-05T18:00:00+07:00,97734.97,98256,97708,98198
2025-02-05T19:00:00+07:00,98198,98710.38,97992,98057.61
2025-02-05T20:00:00+07:00,98057.62,98683.82,97941.6,98570.01
2025-02-05T21:00:00+07:00,98570,99149,98121.81,98292.27
2025-02-05T22:00:00+07:00,98292.27,98550,97734.69,98116.24
2025-02-05T23:00:00+07:00,98116.24,98277.02,97326.99,97974.01
2025-02-06T00:00:00+07:00,97974.01,98256.36,97349.98,97550.74
2025-02-06T01:00:00+07:00,97550.12,97700,96517.22,96723.66
2025-02-06T02:00:00+07:00,96723.66,97519.54,96500,97370
2025-02-06T03:00:00+07:00,97370,97706.37,96870.39,97323.39
2025-02-06T04:00:00+07:00,97323.4,97532.61,96769.23,96904.11
2025-02-06T05:00:00+07:00,96904.11,97047.89,96241.12,96445.63
2025-02-06T06:00:00+07:00,96445.64,96853.57,96155,96612.43
2025-02-06T07:00:00+07:00,96612.44,96999.26,96430.78,96826.96
2025-02-06T08:00:00+07:00,96826.97,97218.84,96639.65,97159.68
2025-02-06T09:00:00+07:00,97159.69,97458.02,97103.47,97364.08
2025-02-06T10:00:00+07:00,97364.09,97493.07,97073.36,97355.67
2025-02-06T11:00:00+07:00,97355.66,97860.85,97273.71,97617.01
2025-02-06T12:00:00+07:00,97617.02,97885.99,97600,97831.47
2025-02-06T13:00:00+07:00,97831.47,98436.61,97704,98386.89
2025-02-06T14:00:00+07:00,98386.9,98386.9,98012.73,98195.61
2025-02-06T15:00:00+07:00,98195.6,98321.84,97910.01,98128.43
2025-02-06T16:00:00+07:00,98128.42,98725.16,98110.7,98614.41
2025-02-06T17:00:00+07:00,98614.4,99040,98614.4,99013.3
2025-02-06T18:00:00+07:00,99013.3,99120,98405,98877.99
2025-02-06T19:00:00+07:00,98877.99,99040.09,98283.45,98346.09
2025-02-06T20:00:00+07:00,98346.09,98783.4,98166.7,98604.5
2025-02-06T21:00:00+07:00,98604.5,98924.09,97795.76,97835.98
2025-02-06T22:00:00+07:00,97835.98,98064.34,96930.17,97333.09
2025-02-06T23:00:00+07:00,97333.09,97547.71,96400,96586.96
2025-02-07T00:00:00+07:00,96586.96,97188.16,96340.81,96715.35
2025-02-07T01:00:00+07:00,96715.35,96837.19,95888,96316.84
2025-02-07T02:00:00+07:00,96316.83,96945.85,95676.64,95983
2025-02-07T03:00:00+07:00,95982.99,97093.5,95800,96926.63
2025-02-07T04:00:00+07:00,96926.63,96944.16,96093.35,96807.43
2025-02-07T05:00:00+07:00,96807.43,96959.99,96154.7,96959.99
2025-02-07T06:00:00+07:00,96959.99,96959.99,96202.98,96554.35
2025-02-07T07:00:00+07:00,96554.35,96928,96409.65,96507.75
2025-02-07T08:00:00+07:00,96507.76,97805.6,96505.33,97404.01
2025-02-07T09:00:00+07:00,97404.01,97621.59,97047.59,97575.85
2025-02-07T10:00:00+07:00,97575.86,97772,97250,97444.04
2025-02-07T11:00:00+07:00,97444.04,97883.12,97383.63,97434.79
2025-02-07T12:00:00+07:00,97434.79,97543.42,97142.13,97338.2
2025-02-07T13:00:00+07:00,97338.2,97362.53,96566,96746.87
2025-02-07T14:00:00+07:00,96746.87,97213.54,96645.45,96757.05
2025-02-07T15:00:00+07:00,96757.04,97258.76,96613.24,97021.47
2025-02-07T16:00:00+07:00,97021.47,97388,97021.47,97295.23
2025-02-07T17:00:00+07:00,97295.24,97486.05,97248.22,97261.51
2025-02-07T18:00:00+07:00,97261.52,97750,97261.51,97750
2025-02-07T19:00:00+07:00,97749.99,98085.85,97500,97963.58
2025-02-07T20:00:00+07:00,97963.58,98862.38,97165.51,98828.01
2025-02-07T21:00:00+07:00,98828.01,100137.99,98688,99710.92
2025-02-07T22:00:00+07:00,99710.91,99710.91,97616.27,98283.98
2025-02-07T23:00:00+07:00,98283.98,98563.55,97638.29,97827.66
2025-02-08T00:00:00+07:00,97827.67,98166.67,97145.81,97434.78
2025-02-08T01:00:00+07:00,97434.79,98353.1,97300.01,97751.99
2025-02-08T02:00:00+07:00,97752,97831.99,96856.78,96898.56
2025-02-08T03:00:00+07:00,96898.56,96944.1,95620.34,95764.31
2025-02-08T04:00:00+07:00,95764.3,96174.79,95693.75,96011.42
2025-02-08T05:00:00+07:00,96011.43,96100.86,95632.23,96062.76
2025-02-08T06:00:00+07:00,96062.77,96518.16,95866.8,96506.8
2025-02-08T07:00:00+07:00,96506.8,96851.48,96335.42,96650.14
2025-02-08T08:00:00+07:00,96650.15,96789.57,96395.12,96509.2
2025-02-08T09:00:00+07:00,96509.2,96818.33,96399.12,96751.01
2025-02-08T10:00:00+07:00,96751.02,96880,96542.02,96699.23
2025-02-08T11:00:00+07:00,96699.24,96699.24,96222,96300.01
2025-02-08T12:00:00+07:00,96300.01,96369.45,96064.61,96211.08
2025-02-08T13:00:00+07:00,96211.08,96224,95853.9,95994.55
2025-02-08T14:00:00+07:00,95994.56,96318.8,95785.09,96209.92
2025-02-08T15:00:00+07:00,96209.92,96293.48,95879.69,95893.84
2025-02-08T16:00:00+07:00,95893.84,96201.86,95893.83,96163.05
2025-02-08T17:00:00+07:00,96163.05,96289,96010.52,96050.64
2025-02-08T18:00:00+07:00,96050.63,96120.66,95865.71,96120
2025-02-08T19:00:00+07:00,96120,96270.28,95864.93,96059.24
2025-02-08T20:00:00+07:00,96059.25,96517.52,96011.58,96246.7
2025-02-08T21:00:00+07:00,96246.69,96376.6,95950.22,96091.34
2025-02-08T22:00:00+07:00,96091.34,96200.04,95688,95843.74
2025-02-08T23:00:00+07:00,95843.74,96132.08,95749.88,96132.07
2025-02-09T00:00:00+07:00,96132.07,96391.03,96132.07,96377.71
2025-02-09T01:00:00+07:00,96377.71,96526.59,96235.23,96512
2025-02-09T02:00:00+07:00,96512,96750,96399.27,96579.99
2025-02-09T03:00:00+07:00,96579.99,96638.89,96358.5,96455.92
2025-02-09T04:00:00+07:00,96455.92,96600,96360,96527.36
2025-02-09T05:00:00+07:00,96527.37,96712,96388.88,96473.9
2025-02-09T06:00:00+07:00,96473.91,96687.02,96430.43,96444.74
2025-02-09T07:00:00+07:00,96444.75,96584.91,96360.14,96568
2025-02-09T08:00:00+07:00,96568.01,96992.37,96484,96992.36
2025-02-09T09:00:00+07:00,96992.36,97042.59,96687.81,96727.31
2025-02-09T10:00:00+07:00,96727.32,97300,96690.31,97300
2025-02-09T11:00:00+07:00,97299.99,97323.09,96964.14,97220.59
2025-02-09T12:00:00+07:00,97220.58,97227.39,97000,97029.28
2025-02-09T13:00:00+07:00,97029.28,97068.04,96777.77,97005.89
2025-02-09T14:00:00+07:00,97005.89,97127.94,96932.88,97057.83
2025-02-09T15:00:00+07:00,97057.83,97294.46,97055.55,97086
2025-02-09T16:00:00+07:00,97086,97086,96898.05,96924.53
2025-02-09T17:00:00+07:00,96924.53,96924.53,96656.79,96762.01
2025-02-09T18:00:00+07:00,96762.01,97020,96509.96,96554.01
2025-02-09T19:00:00+07:00,96554.01,96703.99,96314.3,96535.26
2025-02-09T20:00:00+07:00,96535.27,96544.63,95800.01,95877.92
2025-02-09T21:00:00+07:00,95877.93,96305.3,95700,96127.73
2025-02-09T22:00:00+07:00,96127.51,96653.06,96109.93,96488.15
2025-02-09T23:00:00+07:00,96488.14,96545.65,96326.96,96442.16
2025-02-10T00:00:00+07:00,96442.16,96567.8,95900,96171.17
2025-02-10T01:00:00+07:00,96171.18,96281.45,95982,96212
2025-02-10T02:00:00+07:00,96212,96273.63,95888.88,96064.74
2025-02-10T03:00:00+07:00,96064.73,96760,96048.81,96322.24
2025-02-10T04:00:00+07:00,96322.23,96331.81,94713,95173.78
2025-02-10T05:00:00+07:00,95173.79,96464.77,94779.19,95831.64
2025-02-10T06:00:00+07:00,95830.19,96572.85,95722.22,96462.75
2025-02-10T07:00:00+07:00,96462.75,97131.47,96452.09,96717.98
2025-02-10T08:00:00+07:00,96717.99,96833.34,95256,95576
2025-02-10T09:00:00+07:00,95576,96070.36,95419.47,95798.82
2025-02-10T10:00:00+07:00,95798.83,97098.35,95762,96814.98
2025-02-10T11:00:00+07:00,96814.97,97170,96632.81,96935.46
2025-02-10T12:00:00+07:00,96935.46,97640.02,96764.75,97015.26
2025-02-10T13:00:00+07:00,97015.26,97219.99,96800,97142.43
2025-02-10T14:00:00+07:00,97142.43,97482.87,97108.88,97429.83
2025-02-10T15:00:00+07:00,97429.83,97899.99,97358.79,97683.99
2025-02-10T16:00:00+07:00,97684,97880.33,97451.73,97664.78
2025-02-10T17:00:00+07:00,97664.77,97954.69,97589.94,97728.29
2025-02-10T18:00:00+07:00,97728.29,97899,97599.88,97661.16
2025-02-10T19:00:00+07:00,97661.15,97788.24,97180.55,97358.58
2025-02-10T20:00:00+07:00,97358.59,98345,97356.03,98215.72
2025-02-10T21:00:00+07:00,98215.71,98312,97070,97270.64
