Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
718,Entry short,SHORT,2025-05-20 13:00,"106,065.5",4.171328,-367.49,-0.08%,8135.34,1.84%,-958.57,-0.22%,-557933,-0.08%
719,Exit short,LONG,2025-05-22 19:00,"110,944.0",3.993858,-1028.02,-0.23%,1789.65,0.40%,-2465.01,-0.56%,-558961,-0.23%
719,Entry short,SHORT,2025-05-22 14:30,"110,686.6",3.993858,-1028.02,-0.23%,1789.65,0.40%,-2465.01,-0.56%,-558961,-0.23%
720,Exit long,Close entry(s) order LONG,2025-05-23 04:30,"110,766.4",3.975322,-706.02,-0.16%,4036.94,0.92%,-1793.67,-0.41%,-559667.06,-0.16%
720,Entry long,LONG,2025-05-22 19:00,"110,944.0",3.975322,-706.02,-0.16%,4036.94,0.92%,-1793.67,-0.41%,-559667.06,-0.16%
721,Exit short,LONG,2025-05-24 11:00,"108,306.7",4.052146,1458.37,0.33%,7880.21,1.79%,-4430.62,-1.01%,-558208.7,0.33%
721,Entry short,SHORT,2025-05-23 23:30,"108,666.6",4.052146,1458.37,0.33%,7880.21,1.79%,-4430.62,-1.01%,-558208.7,0.33%
722,Exit long,SHORT,2025-05-24 15:30,"107,848.6",4.079069,-1868.62,-0.42%,870.07,0.20%,-3209,-0.73%,-560077.3,-0.42%
722,Entry long,LONG,2025-05-24 11:00,"108,306.7",4.079069,-1868.62,-0.42%,870.07,0.20%,-3209,-0.73%,-560077.3,-0.42%
723,Exit short,LONG,2025-05-24 16:30,"108,297.0",4.079076,-1829.06,-0.42%,189.68,0.04%,-2188.02,-0.50%,-561906.4,-0.42%
723,Entry short,SHORT,2025-05-24 15:30,"107,848.6",4.079076,-1829.06,-0.42%,189.68,0.04%,-2188.02,-0.50%,-561906.4,-0.42%
724,Exit long,Close entry(s) order LONG,2025-05-25 04:30,"108,661.8",4.045298,1475.72,0.34%,4624.58,1.06%,-764.16,-0.17%,-560430.6,0.34%
724,Entry long,LONG,2025-05-24 16:30,"108,297.0",4.045298,1475.72,0.34%,4624.58,1.06%,-764.16,-0.17%,-560430.6,0.34%
725,Exit long,Close entry(s) order LONG,2025-05-25 13:30,"107,937.0",4.067634,-521.06,-0.12%,133.42,0.03%,-964.44,-0.22%,-560951.7,-0.12%
725,Entry long,LONG,2025-05-25 13:00,"108,065.1",4.067634,-521.06,-0.12%,133.42,0.03%,-964.44,-0.22%,-560951.7,-0.12%
726,Exit long,SHORT,2025-05-25 23:30,"106,675.3",4.084174,-3368.22,-0.77%,810.3,0.18%,-4096.43,-0.93%,-564319.94,-0.77%
726,Entry long,LONG,2025-05-25 20:30,"107,500.0",4.084174,-3368.22,-0.77%,810.3,0.18%,-4096.43,-0.93%,-564319.94,-0.77%
727,Exit short,LONG,2025-05-26 01:30,"107,485.0",4.08417,-3306.95,-0.76%,86.58,0.02%,-3634.91,-0.83%,-567626.9,-0.76%
727,Entry short,SHORT,2025-05-25 23:30,"106,675.3",4.08417,-3306.95,-0.76%,86.58,0.02%,-3634.91,-0.83%,-567626.9,-0.76%
728,Exit long,SHORT,2025-05-26 05:00,"107,406.8",4.022629,-314.57,-0.07%,1621.12,0.37%,-1473.09,-0.34%,-567941.44,-0.07%
728,Entry long,LONG,2025-05-26 01:30,"107,485.0",4.022629,-314.57,-0.07%,1621.12,0.37%,-1473.09,-0.34%,-567941.44,-0.07%
